sensor,node_id,component_id,component_size,root_id,seq_pos
D4-172,172,2,9,273,3173.4
D4-206,206,2,9,273,2458.1
D4-048,48,2,9,273,2055.6
D4-273,273,2,9,273,0.0
D4-114,114,2,9,273,1281.3
D4-144,144,2,9,273,2815.0
D4-245,245,2,9,273,1678.8
D4-284,284,2,9,273,816.4
D4-100,100,3,9,145,1632.8
D4-228,228,3,9,145,454.6
D4-136,136,3,9,145,2513.2
D4-139,139,3,9,145,3281.7999999999997
D4-205,205,3,9,145,808.6
D4-303,303,3,9,145,2082.0
D4-145,145,3,9,145,0.0
D4-305,305,3,9,145,2926.3999999999996
D4-244,244,3,9,145,1195.0
D4-129,129,4,4,134,1688.6
D4-130,130,4,4,134,1206.1
D4-107,107,4,4,134,344.0
D4-134,134,4,4,134,0.0
D4-112,112,5,3,112,0.0
D4-089,89,5,3,112,691.8
D4-014,14,5,3,112,357.6
D4-233,233,6,3,21,332.0
D4-021,21,6,3,21,0.0
D4-277,277,6,3,21,731.4
D4-020,20,7,2,301,446.0
D4-301,301,7,2,301,0.0
D4-024,24,8,2,237,452.4
D4-237,237,8,2,237,0.0
D4-044,44,9,2,44,0.0
D4-007,7,9,2,44,380.6
D4-083,83,10,2,6,483.2
D4-006,6,10,2,6,0.0
D4-257,257,11,2,257,0.0
D4-275,275,11,2,257,363.3
